Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
3,4,0.101,16,53,0.004,15,7.6,7.4,63.5,54.1,9.4,0.00323,0.00647,25,1,2,1,0,1,,,,,
4,1,0.203,68,34,0.004,52.1,45.6,6.5,675.4,671.2,4.2,0.00191,0.00382,51,1,2,1,0,1,,,,,
4,5,0.105,22,60,0.004,12.9,5.9,7,54.9,44.4,10.5,0.00391,0.00783,26,1,2,1,0,1,,,,,
5,3,0.151,58,39,0.004,26.6,21,5.6,207.3,202.6,4.7,0.00276,0.00553,38,1,2,1,0,1,,,,,
5,4,0.132,47,45,0.004,18.5,12.5,6,112.3,106.5,5.8,0.00346,0.00692,33,1,2,1,0,1,,,,,
5,5,0.093,31,55,0.003,10.9,5.2,5.7,39,31.7,7.3,0.00413,0.00826,31,1,2,1,0,1,,,,,
1,0,0.154,47,39,0.004,50.3,40.8,9.5,379.9,372.5,7.4,0.00149,0.00298,39,1,2,1,0,1,,,,,
2,0,0.134,40,38,0.007,45.1,36.3,8.8,251.4,243.7,7.7,0.00141,0.00282,19,1,2,1,0,1,,,,,
3,0,0.134,44,41,0.004,49.7,41.3,8.4,375.3,368.1,7.2,0.00131,0.00262,34,1,2,1,0,1,,,,,
4,0,0.101,25,41,0.006,35.8,28.2,7.6,170.8,164.1,6.7,0.00133,0.00265,17,1,2,1,0,1,,,,,
1,1,0.154,60,39,0.006,41.7,30.3,11.4,277.1,268.9,8.2,0.00177,0.00355,26,1,3,1,0,0,,,,,
1,4,0.076,16,48,0.005,13.9,6.4,7.5,39.5,32.1,7.4,0.00255,0.00511,15,1,3,1,0,0,,,,,
2,1,0.171,68,40,0.003,48.2,37.7,10.5,414.2,405.8,8.4,0.00174,0.00349,57,1,3,1,0,0,,,,,
2,2,0.153,50,38,0.005,35.3,26.1,9.2,239.3,233.7,5.6,0.0021,0.00419,31,1,3,1,0,0,,,,,
2,3,0.099,27,41,0.005,20.6,12.8,7.8,74.3,68.6,5.7,0.00228,0.00456,20,1,3,1,0,0,,,,,
3,2,0.167,56,40,0.003,36.6,27.7,8.9,307.9,301.5,6.4,0.00224,0.00448,56,1,3,1,0,0,,,,,
3,4,0.103,26,51,0.003,16.5,8.9,7.6,71.1,63.1,8,0.00303,0.00606,34,1,3,1,0,0,,,,,
4,3,0.134,57,41,0.006,24.9,18.3,6.6,150.2,145.6,4.6,0.00257,0.00514,22,1,3,1,0,0,,,,,
4,4,0.136,45,46,0.005,20.6,14.5,6.1,135.9,130.6,5.3,0.00318,0.00636,27,1,3,1,0,0,,,,,
4,6,0.081,18,65,0.004,8.6,2.9,5.7,23.6,14.3,9.3,0.00448,0.00895,20,1,3,1,0,0,,,,,
